CC.TABLE_NAME||'|'||CC.COLUMN_NAME||'|'||RC.TABLE_NAME||'|'||RC.COLUMN_NAME||'|'||C.CONSTRAINT_NAME
BATCH5_JOB_EXECUTION|JOB_INSTANCE_ID|BATCH5_JOB_INSTANCE|JOB_INSTANCE_ID|BATCH5_JOB_INST_EXEC_FK
GCBRAUD|GCBRAUD_GCRAACT_ID|GCRAACT|GCRAACT_SURROGATE_ID|FK1_GCBRAUD_INV_GCRAACT_KEY
GCBRAUD|GCBRAUD_GCRAISR_ID|GCRAISR|GCRAISR_SURROGATE_ID|FK1_GCBRAUD_INV_GCRAISR_KEY
GCBRAUD|GCBRAUD_RVST_CODE|GTVRVST|GTVRVST_CODE|FK1_GCBRAUD_INV_GTVRVST_CODE
GCBRDAT|GCBRDAT_ORGANIZATION_ID|GCRORAN|GCRORAN_SURROGATE_ID|FK1_GCBRDAT_INV_GCRORAN
GCBRDAT|GCBRDAT_TEMPLATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK1_GCBRDAT_INV_GCBTMPL
GCBTMPL|GCBTMPL_FOLDER_ID|GCRFLDR|GCRFLDR_SURROGATE_ID|FK_GCBTMPL_INV_GCRFLDR
GCBTMPL|GCBTMPL_LETR_ID|GTVLETR|GTVLETR_SURROGATE_ID|FK1_GCBTMPL_INV_GTVLETR
GCBTMTL|GCBTMTL_SURROGATE_ID|GCBTMPL|GCBTMPL_SURROGATE_ID|FK_GCBTMTL_INV_GCBTMPL
GCRAACT|GCRAACT_GCBACTM_ID|GCBACTM|GCBACTM_SURROGATE_ID|FK_GCRAACT_INV_ACTID
GCRAACT|GCRAACT_GCBAGRP_ID|GCBAGRP|GCBAGRP_SURROGATE_ID|FK_GCRAACT_INV_AGROUP_ID
GCRAACT|GCRAACT_GCRAISR_ID|GCRAISR|GCRAISR_SURROGATE_ID|FK1_GCRAACT_INV_GCRAISR_KEY
GCRAACT|GCRAACT_GCVASTS_ID|GCVASTS|GCVASTS_SURROGATE_ID|FK_GCRAACT_INV_STATUS_ID
GCRAACT|GCRAACT_RVST_CODE|GTVRVST|GTVRVST_CODE|FK1_GCRAACT_INV_GTVRVST_CODE
GCRABLK|GCRABLK_GCBACTM_ID|GCBACTM|GCBACTM_SURROGATE_ID|FK_GCRABLK_INV_ACTIONID
GCRABLK|GCRABLK_GCBBPRC_ID|GCBBPRC|GCBBPRC_SURROGATE_ID|FK_GCRABLK_INV_GCBBPRC
GCRACNT|GCRACNT_GCBACTM_ID|GCBACTM|GCBACTM_SURROGATE_ID|FK_GCRACNT_INV_ACTIONITEM
GCRACNT|GCRACNT_GCBPBTR_ID|GCBPBTR|GCBPBTR_SURROGATE_ID|FK_GCRACNT_INV_TMPL
GCRAFCT|GCRAFCT_GCRAFLU_ID|GCRAFLU|GCRAFLU_SURROGATE_ID|FK1_GCRAFCT_INV_GCRAFLU_KEY
GCRAFLU|GCRAFLU_GCRAACT_ID|GCRAACT|GCRAACT_SURROGATE_ID|FK1_GCRAFLU_INV_GCRAACT_KEY
GCRAFLU|GCRAFLU_GCRAISR_ID|GCRAISR|GCRAISR_SURROGATE_ID|FK1_GCRAFLU_INV_GCRAISR_KEY
GCRAGRA|GCRAGRA_GCBACTM_ID|GCBACTM|GCBACTM_SURROGATE_ID|FK_GCRAGRA_INV_GCBACTM
GCRAGRA|GCRAGRA_GCBAGRP_ID|GCBAGRP|GCBAGRP_SURROGATE_ID|FK_GCRAGRA_INV_GCBAGRP
GCRAIIM|GCRAIIM_GCBAPST_ID|GCBAPST|GCBAPST_SURROGATE_ID|FK_GCRAIIM_INV_GCBAPST
GCRAISR|GCRAISR_GCBACTM_ID|GCBACTM|GCBACTM_SURROGATE_ID|FK_GCRAISR_INV_GCBACTM
GCRAISR|GCRAISR_GCVASTS_ID|GCVASTS|GCVASTS_SURROGATE_ID|FK_GCRAISR_INV_GCVASTS
GCRAPST|GCRAPST_GCBACTM_ID|GCBACTM|GCBACTM_SURROGATE_ID|FK_GCRAPST_INV_GCBACTM_ID
GCRAPST|GCRAPST_GCBAPST_ID|GCBAPST|GCBAPST_SURROGATE_ID|FK_GCRAPST_INV_GCBAPST_ID
